sonta,include;
intero,int;
auto,auto;
rónper,break;
caxo,case;
létara,char;
costante,const;
continuàr,continue;
predefinìo,default;
fa,do;
dopio,double;
altro,else;
enumerazion,enum;
esterno,extern;
flottante,float;
per,for;
vai,goto;
se,if;
lungo,long;
registrato,register;
torna,return;
corto,short;
firmà,signed;
dimension,sizeof;
statico,static;
struttura,struct;
seleziona,switch;
tipo,typedef;
taca,union;
nissùn_segno,unsigned;
Vòdo,void;
volatile,volatile;
mentre,while;
stampa,printf;
principale,main;
sistema,system;